itching,skin_rash,chills,vomiting,fatigue,prognosis,probability
0,0,0,0,0,0,0
0,0,0,0,0,1,0.1
0,0,0,0,1,0,0
0,0,0,0,1,1,0
0,0,0,1,0,0,0
0,0,0,1,0,1,0
0,0,0,1,1,0,0
0,0,0,1,1,1,0
0,0,1,0,0,0,0
0,0,1,0,0,1,0.9
0,0,1,0,1,0,0
0,0,1,0,1,1,0
0,0,1,1,0,0,0
0,0,1,1,0,1,0
0,0,1,1,1,0,0
0,0,1,1,1,1,0
0,1,0,0,0,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,1,0
0,1,0,1,0,0,0
0,1,0,1,0,1,0
0,1,0,1,1,0,0
0,1,0,1,1,1,0
0,1,1,0,0,0,0
0,1,1,0,0,1,0
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,1,1,1,0,0,0
0,1,1,1,0,1,0
0,1,1,1,1,0,0
0,1,1,1,1,1,0
1,0,0,0,0,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,1,0
1,0,0,1,0,0,0
1,0,0,1,0,1,0
1,0,0,1,1,0,0
1,0,0,1,1,1,0
1,0,1,0,0,0,0
1,0,1,0,0,1,0
1,0,1,0,1,0,0
1,0,1,0,1,1,0
1,0,1,1,0,0,0
1,0,1,1,0,1,0
1,0,1,1,1,0,0
1,0,1,1,1,1,0
1,1,0,0,0,0,0
1,1,0,0,0,1,0
1,1,0,0,1,0,0
1,1,0,0,1,1,0
1,1,0,1,0,0,0
1,1,0,1,0,1,0
1,1,0,1,1,0,0
1,1,0,1,1,1,0
1,1,1,0,0,0,0
1,1,1,0,0,1,0
1,1,1,0,1,0,0
1,1,1,0,1,1,0
1,1,1,1,0,0,0
1,1,1,1,0,1,0
1,1,1,1,1,0,0
1,1,1,1,1,1,0
